,Account,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
51,@BBC,0.0,Wed Mar 07 18:23:04 +0000 2018,1.0,0.0,0.0,"?? ‘My hair is a symbol of pride.’

?????? Six stories about black women's hair.
? https://t.co/NfNvGpKpVi https://t.co/V1qrRJzwfu",52
52,@BBC,0.4987,Wed Mar 07 17:42:01 +0000 2018,0.736,0.0,0.264,The little mouse that inspired Pikachu is actually a rabbit! https://t.co/AxOQOaK4dS,53
53,@BBC,0.0,Wed Mar 07 17:27:29 +0000 2018,1.0,0.0,0.0,"RT @BBCTwo: If you haven't seen #ACSVersace yet, Penélope Cruz as Donatella Versace is everything... https://t.co/lH9kfRGqO2",54
54,@BBC,0.0,Wed Mar 07 17:22:51 +0000 2018,1.0,0.0,0.0,"RT @BBCBreakfast: In many ways Hedy Lamarr was the archetypal Hollywood starlet, but the Austrian born actress was also an inventor and the…",55
55,@BBC,0.8555,Wed Mar 07 17:22:23 +0000 2018,0.63,0.0,0.37,RT @BBCScotlandNews: A Scottish school has won a prestigious award for its pioneering work helping children with their reading and writing…,56
56,@BBC,0.0,Wed Mar 07 17:16:45 +0000 2018,1.0,0.0,0.0,RT @bbceurovision: A storm is coming.@surieofficial  ? ? https://t.co/LYIiBgcZdA https://t.co/heOKLnjo2N,57
57,@BBC,0.5562,Wed Mar 07 17:14:49 +0000 2018,0.817,0.0,0.183,RT @BBCTwo: Nostalgia heaven! How many of these 80s &amp; 90s things can you remember? ? #BackInTimeForTea https://t.co/l0R6nHrTj1,58
58,@BBC,0.0,Wed Mar 07 17:13:49 +0000 2018,1.0,0.0,0.0,"? Time to 'embiggen' your vocabulary.

A new word, first heard on @TheSimpsons in 1996, has been added to the… https://t.co/qGvkGgjAcB",59
59,@BBC,0.0,Wed Mar 07 16:15:06 +0000 2018,1.0,0.0,0.0,RT @bbccomedy: WOOF! ??#RikMayallDay https://t.co/ioJtvYVFRO,60
60,@BBC,0.0,Wed Mar 07 14:30:03 +0000 2018,1.0,0.0,0.0,? The most hardcore baptism you’ll ever see. https://t.co/aEsVqMUPQ2,61
61,@BBC,0.1742,Wed Mar 07 13:24:05 +0000 2018,0.751,0.109,0.14,"#InternationalWomensDay is tomorrow, so there's no better time to test how much you know about female suffrage.
?… https://t.co/6ulqfr8zyL",62
62,@BBC,-0.6369,Wed Mar 07 12:30:04 +0000 2018,0.597,0.321,0.082,?? All aboard London's Victorian railway for the dead. https://t.co/L7vJO4ybeD,63
63,@BBC,0.0,Wed Mar 07 11:42:44 +0000 2018,1.0,0.0,0.0,"? The first polar bear cub to be born in the UK for 25 years has emerged at the @RZSS's @HighlandWPark!
?… https://t.co/4fhzBaxwjF",64
64,@BBC,-0.2244,Wed Mar 07 11:07:18 +0000 2018,0.924,0.076,0.0,"RT @bbccomedy: Today would have been the 60th birthday of the legend, the genius, the king Rik Mayall. We miss you, sir! #RikMayallDay http…",65
65,@BBC,-0.4404,Wed Mar 07 10:46:56 +0000 2018,0.868,0.132,0.0,The wreck of a US aircraft carrier that was sunk during WW2 has been found off the coast of Australia. https://t.co/8NQfRdFXTE,66
66,@BBC,0.4927,Wed Mar 07 10:41:15 +0000 2018,0.775,0.0,0.225,RT @BBCFOUR: There's a very good reason this extreme firework was banned... https://t.co/pdfpcDiJ4h,67
67,@BBC,0.4404,Wed Mar 07 09:58:38 +0000 2018,0.681,0.108,0.211,"RT @CBeebiesHQ: 3 out of 4 parents wouldn’t be able to save their baby from choking. 

Learn how to help in a first aid emergency…https://t…",68
68,@BBC,0.0,Wed Mar 07 09:00:07 +0000 2018,1.0,0.0,0.0,A moving story of how one woman transformed Alzheimer’s research forever. ??https://t.co/2fwJDbWT8x,69
69,@BBC,0.4926,Wed Mar 07 08:46:22 +0000 2018,0.825,0.0,0.175,RT @BBCOne: They've smashed the record for the highest profit EVER on Antiques Road Trip! ? https://t.co/TNuRcp2EOq,70
70,@BBC,0.4215,Wed Mar 07 08:46:14 +0000 2018,0.891,0.0,0.109,"RT @bbc5live: What happens to your old paint?

A scheme in Leeds to recycle unused paint has saved hundreds of tons of leftovers from endin…",71
71,@BBC,-0.6808,Wed Mar 07 08:45:50 +0000 2018,0.789,0.211,0.0,"RT @BBCTwo: When this father and daughter paddled into the sea, they had no idea how much danger they were in... #SavingLivesAtSea https://…",72
72,@BBC,0.4215,Wed Mar 07 08:44:59 +0000 2018,0.877,0.0,0.123,"RT @cbbc: There are over 128,000 children in the UK without a home.

Watch CBBC's powerful documentary about homeless children on @BBCiPlay…",73
73,@BBC,-0.8591,Wed Mar 07 08:30:07 +0000 2018,0.627,0.373,0.0,"Dirty water kills millions every year. 

But one ingenious invention can remove dangerous microbes as they flow tow… https://t.co/isjxUnr3Dp",74
74,@BBC,0.5994,Wed Mar 07 08:00:04 +0000 2018,0.769,0.0,0.231,"La Dame de Brassempouy is a beautiful 25,000 year-old representation of a female face. 
#Civilisations https://t.co/aKGUlvJFGF",75
75,@BBC,0.0,Tue Mar 06 19:30:06 +0000 2018,1.0,0.0,0.0,"?? Who has a filthier mouth, Jennifer Lawrence or James McAvoy? https://t.co/lOfGcHVo6R",76
76,@BBC,-0.4215,Tue Mar 06 18:30:07 +0000 2018,0.781,0.219,0.0,"A diver swims through a thick soup of plastic waste near Bali.
https://t.co/W8GJNKq8rm",77
77,@BBC,0.4939,Tue Mar 06 18:03:04 +0000 2018,0.873,0.0,0.127,"Every day around the UK, an army of unpaid volunteers put their lives on the line to try and save complete stranger… https://t.co/W3Fel1iPSK",78
78,@BBC,-0.1027,Tue Mar 06 17:30:07 +0000 2018,0.65,0.185,0.165,"Impressive and terrifying in equal measure. 

This woman doesn't just sleepwalk... she sleep-drives too. https://t.co/Ovwb4dNaYJ",79
79,@BBC,0.0,Tue Mar 06 17:25:44 +0000 2018,1.0,0.0,0.0,RT @bbcwritersroom: New #Brexit #comedy Soft Border Patrol is set on the border between #NorthernIreland and the Republic of #Ireland. We p…,80
